#options: 608x1080 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=1113 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:33.61 aq:23.50 tex:205168 mv:55742 misc:186 imb:2584 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:35.13 aq:25.47 tex:4848 mv:2460 misc:1244 imb:31 pmb:302 smb:2251 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:35.13 aq:30.68 tex:360 mv:980 misc:596 imb:1 pmb:102 smb:2481 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:35.13 aq:30.86 tex:105 mv:284 misc:347 imb:0 pmb:33 smb:2551 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:35.13 aq:33.13 tex:46 mv:278 misc:340 imb:0 pmb:34 smb:2550 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:34.77 aq:26.37 tex:11579 mv:2766 misc:1031 imb:21 pmb:369 smb:2194 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:34.95 aq:30.68 tex:343 mv:1244 misc:709 imb:0 pmb:125 smb:2459 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:35.04 aq:28.00 tex:10 mv:466 misc:412 imb:0 pmb:45 smb:2539 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:34.86 aq:27.00 tex:18 mv:315 misc:339 imb:0 pmb:32 smb:2552 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:38.08 aq:28.88 tex:10064 mv:3316 misc:1092 imb:77 pmb:340 smb:2167 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:36.43 aq:32.03 tex:746 mv:1522 misc:668 imb:0 pmb:145 smb:2439 d:- ref:0 ;
in:9 out:11 type:b dur:2 cpbdur:2 q:35.60 aq:26.91 tex:195 mv:576 misc:445 imb:1 pmb:50 smb:2533 d:- ref:0 ;
in:11 out:12 type:b dur:2 cpbdur:2 q:37.25 aq:35.09 tex:49 mv:238 misc:305 imb:0 pmb:21 smb:2563 d:- ref:0 ;
in:16 out:13 type:P dur:2 cpbdur:2 q:34.08 aq:25.38 tex:22706 mv:4308 misc:1618 imb:86 pmb:609 smb:1889 d:- ref:0 ;
in:14 out:14 type:B dur:2 cpbdur:2 q:36.08 aq:32.28 tex:717 mv:1419 misc:720 imb:1 pmb:136 smb:2447 d:- ref:0 ;
in:13 out:15 type:b dur:2 cpbdur:2 q:37.08 aq:33.63 tex:56 mv:153 misc:247 imb:0 pmb:17 smb:2567 d:- ref:0 ;
in:15 out:16 type:b dur:2 cpbdur:2 q:35.08 aq:31.64 tex:312 mv:469 misc:427 imb:0 pmb:53 smb:2531 d:- ref:0 ;
in:20 out:17 type:P dur:2 cpbdur:2 q:30.02 aq:21.99 tex:67801 mv:8816 misc:2175 imb:188 pmb:1165 smb:1231 d:- ref:0 ;
in:18 out:18 type:B dur:2 cpbdur:2 q:32.05 aq:27.79 tex:5152 mv:3617 misc:911 imb:13 pmb:299 smb:2272 d:- ref:0 ;
in:17 out:19 type:b dur:2 cpbdur:2 q:33.06 aq:30.26 tex:855 mv:1409 misc:680 imb:2 pmb:134 smb:2448 d:- ref:0 ;
in:19 out:20 type:b dur:2 cpbdur:2 q:31.03 aq:28.07 tex:3422 mv:2230 misc:748 imb:7 pmb:201 smb:2376 d:- ref:0 ;
in:24 out:21 type:P dur:2 cpbdur:2 q:28.10 aq:20.38 tex:124386 mv:12735 misc:1735 imb:400 pmb:1384 smb:800 d:- ref:0 ;
in:22 out:22 type:B dur:2 cpbdur:2 q:29.06 aq:25.41 tex:16315 mv:5800 misc:853 imb:29 pmb:445 smb:2110 d:- ref:0 ;
in:21 out:23 type:b dur:2 cpbdur:2 q:29.54 aq:26.48 tex:6670 mv:3697 misc:977 imb:23 pmb:307 smb:2254 d:- ref:0 ;
in:23 out:24 type:b dur:2 cpbdur:2 q:28.58 aq:25.59 tex:6481 mv:4246 misc:1153 imb:11 pmb:391 smb:2182 d:- ref:0 ;
in:28 out:25 type:P dur:2 cpbdur:2 q:27.68 aq:20.40 tex:102450 mv:13082 misc:1868 imb:412 pmb:1211 smb:961 d:- ref:0 ;
in:26 out:26 type:B dur:2 cpbdur:2 q:27.89 aq:23.97 tex:17825 mv:6877 misc:1226 imb:15 pmb:583 smb:1986 d:- ref:0 ;
in:25 out:27 type:b dur:2 cpbdur:2 q:27.99 aq:25.95 tex:6794 mv:4162 misc:1204 imb:3 pmb:426 smb:2155 d:- ref:0 ;
in:27 out:28 type:b dur:2 cpbdur:2 q:27.79 aq:25.38 tex:10202 mv:5268 misc:1242 imb:7 pmb:500 smb:2077 d:- ref:0 ;
in:31 out:29 type:P dur:2 cpbdur:2 q:28.25 aq:21.24 tex:87216 mv:11136 misc:1560 imb:463 pmb:872 smb:1249 d:- ref:0 ;
in:29 out:30 type:B dur:2 cpbdur:2 q:27.87 aq:24.71 tex:18592 mv:7070 misc:1410 imb:32 pmb:628 smb:1924 d:- ref:0 ;
in:30 out:31 type:b dur:2 cpbdur:2 q:28.06 aq:25.79 tex:20437 mv:7263 misc:924 imb:44 pmb:524 smb:2016 d:- ref:0 ;
in:32 out:32 type:P dur:2 cpbdur:2 q:28.67 aq:20.91 tex:41982 mv:9224 misc:1754 imb:285 pmb:843 smb:1456 d:- ref:0 ;
in:36 out:33 type:P dur:2 cpbdur:2 q:28.64 aq:20.58 tex:73710 mv:12159 misc:1531 imb:614 pmb:747 smb:1223 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:28.65 aq:24.23 tex:27070 mv:8602 misc:688 imb:106 pmb:448 smb:2030 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:28.66 aq:25.95 tex:15707 mv:7334 misc:991 imb:72 pmb:475 smb:2037 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:28.65 aq:24.85 tex:16082 mv:6943 misc:983 imb:68 pmb:483 smb:2033 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:28.55 aq:20.73 tex:51943 mv:10833 misc:1400 imb:549 pmb:593 smb:1442 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:28.60 aq:23.26 tex:22468 mv:8770 misc:1282 imb:83 pmb:590 smb:1911 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:28.62 aq:25.88 tex:11662 mv:5915 misc:999 imb:41 pmb:417 smb:2126 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:28.57 aq:24.25 tex:8287 mv:5726 misc:1243 imb:37 pmb:469 smb:2078 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:28.76 aq:20.22 tex:60596 mv:15761 misc:1667 imb:888 pmb:1029 smb:667 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:28.65 aq:22.32 tex:14973 mv:8396 misc:1943 imb:132 pmb:708 smb:1744 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:28.60 aq:23.77 tex:6060 mv:5289 misc:1355 imb:46 pmb:438 smb:2100 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:28.70 aq:23.39 tex:5243 mv:5018 misc:1675 imb:61 pmb:514 smb:2009 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:28.60 aq:18.79 tex:62064 mv:16335 misc:1689 imb:760 pmb:1212 smb:612 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:28.68 aq:21.83 tex:8407 mv:5965 misc:1804 imb:91 pmb:629 smb:1864 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:28.72 aq:23.09 tex:3624 mv:2971 misc:949 imb:40 pmb:237 smb:2307 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:28.64 aq:22.75 tex:3689 mv:3161 misc:1494 imb:54 pmb:445 smb:2085 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:28.47 aq:17.94 tex:47992 mv:11364 misc:2036 imb:377 pmb:1113 smb:1094 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:28.53 aq:21.37 tex:4255 mv:2900 misc:1309 imb:29 pmb:357 smb:2198 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:28.57 aq:22.85 tex:1844 mv:1511 misc:741 imb:8 pmb:181 smb:2395 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:28.50 aq:23.23 tex:1980 mv:1371 misc:1169 imb:13 pmb:257 smb:2314 d:- ref:0 ;
in:55 out:53 type:P dur:2 cpbdur:2 q:28.10 aq:18.14 tex:17084 mv:4716 misc:2048 imb:97 pmb:657 smb:1830 d:- ref:0 ;
in:53 out:54 type:B dur:2 cpbdur:2 q:28.34 aq:21.15 tex:1239 mv:708 misc:565 imb:1 pmb:93 smb:2490 d:- ref:0 ;
in:54 out:55 type:b dur:2 cpbdur:2 q:28.22 aq:23.42 tex:497 mv:507 misc:396 imb:1 pmb:56 smb:2527 d:- ref:0 ;
in:59 out:56 type:P dur:2 cpbdur:2 q:27.66 aq:18.26 tex:17405 mv:4377 misc:1842 imb:111 pmb:554 smb:1919 d:- ref:0 ;
in:57 out:57 type:B dur:2 cpbdur:2 q:27.88 aq:20.35 tex:1189 mv:969 misc:570 imb:2 pmb:100 smb:2482 d:- ref:0 ;
in:56 out:58 type:b dur:2 cpbdur:2 q:27.99 aq:22.58 tex:398 mv:493 misc:309 imb:1 pmb:37 smb:2546 d:- ref:0 ;
in:58 out:59 type:b dur:2 cpbdur:2 q:27.77 aq:23.13 tex:417 mv:503 misc:368 imb:0 pmb:46 smb:2538 d:- ref:0 ;
in:63 out:60 type:P dur:2 cpbdur:2 q:26.89 aq:18.91 tex:35900 mv:6089 misc:2291 imb:133 pmb:985 smb:1466 d:- ref:0 ;
in:61 out:61 type:B dur:2 cpbdur:2 q:27.27 aq:20.63 tex:2098 mv:1389 misc:921 imb:4 pmb:179 smb:2401 d:- ref:0 ;
in:60 out:62 type:b dur:2 cpbdur:2 q:27.47 aq:22.65 tex:928 mv:941 misc:523 imb:3 pmb:88 smb:2493 d:- ref:0 ;
in:62 out:63 type:b dur:2 cpbdur:2 q:27.08 aq:21.60 tex:958 mv:882 misc:424 imb:0 pmb:83 smb:2501 d:- ref:0 ;
in:65 out:64 type:P dur:2 cpbdur:2 q:26.10 aq:18.89 tex:28553 mv:6311 misc:2232 imb:195 pmb:764 smb:1625 d:- ref:0 ;
in:64 out:65 type:b dur:2 cpbdur:2 q:26.49 aq:21.42 tex:2688 mv:1953 misc:1031 imb:17 pmb:237 smb:2330 d:- ref:0 ;
in:66 out:66 type:P dur:2 cpbdur:2 q:25.88 aq:18.87 tex:24261 mv:5895 misc:1972 imb:193 pmb:649 smb:1742 d:- ref:0 ;
in:67 out:67 type:P dur:2 cpbdur:2 q:25.73 aq:19.42 tex:25714 mv:6781 misc:1689 imb:238 pmb:592 smb:1754 d:- ref:0 ;
in:68 out:68 type:P dur:2 cpbdur:2 q:25.56 aq:19.08 tex:36257 mv:9463 misc:2016 imb:335 pmb:882 smb:1367 d:- ref:0 ;
in:69 out:69 type:P dur:2 cpbdur:2 q:25.45 aq:19.27 tex:37318 mv:8532 misc:1566 imb:316 pmb:636 smb:1632 d:- ref:0 ;
in:70 out:70 type:P dur:2 cpbdur:2 q:25.50 aq:19.44 tex:41983 mv:10505 misc:1568 imb:377 pmb:770 smb:1437 d:- ref:0 ;
in:71 out:71 type:P dur:2 cpbdur:2 q:25.46 aq:19.71 tex:46848 mv:11891 misc:1549 imb:408 pmb:888 smb:1288 d:- ref:0 ;
in:72 out:72 type:P dur:2 cpbdur:2 q:25.52 aq:19.26 tex:51845 mv:10861 misc:1478 imb:336 pmb:799 smb:1449 d:- ref:0 ;
in:73 out:73 type:P dur:2 cpbdur:2 q:25.58 aq:19.16 tex:57222 mv:10599 misc:1475 imb:313 pmb:854 smb:1417 d:- ref:0 ;
in:74 out:74 type:P dur:2 cpbdur:2 q:25.69 aq:19.39 tex:62145 mv:11582 misc:1425 imb:329 pmb:978 smb:1277 d:- ref:0 ;
in:75 out:75 type:P dur:2 cpbdur:2 q:25.79 aq:18.89 tex:59083 mv:9216 misc:1253 imb:228 pmb:831 smb:1525 d:- ref:0 ;
in:79 out:76 type:P dur:2 cpbdur:2 q:25.89 aq:19.04 tex:161819 mv:16867 misc:1466 imb:817 pmb:1096 smb:671 d:- ref:0 ;
in:77 out:77 type:B dur:2 cpbdur:2 q:25.84 aq:21.61 tex:39368 mv:11312 misc:1552 imb:93 pmb:824 smb:1667 d:- ref:0 ;
in:76 out:78 type:b dur:2 cpbdur:2 q:25.82 aq:22.15 tex:19473 mv:9038 misc:1617 imb:66 pmb:788 smb:1730 d:- ref:0 ;
in:78 out:79 type:b dur:2 cpbdur:2 q:25.87 aq:22.26 tex:17070 mv:8958 misc:1452 imb:48 pmb:789 smb:1747 d:- ref:0 ;
in:81 out:80 type:P dur:2 cpbdur:2 q:26.42 aq:19.76 tex:80730 mv:12635 misc:1699 imb:427 pmb:1040 smb:1117 d:- ref:0 ;
in:80 out:81 type:b dur:2 cpbdur:2 q:26.15 aq:22.75 tex:16148 mv:8425 misc:1299 imb:50 pmb:673 smb:1861 d:- ref:0 ;
in:83 out:82 type:P dur:2 cpbdur:2 q:27.07 aq:21.15 tex:79972 mv:10984 misc:1572 imb:422 pmb:810 smb:1352 d:- ref:0 ;
in:82 out:83 type:b dur:2 cpbdur:2 q:26.74 aq:23.21 tex:20590 mv:8397 misc:1109 imb:72 pmb:654 smb:1858 d:- ref:0 ;
in:84 out:84 type:P dur:2 cpbdur:2 q:27.23 aq:20.61 tex:46591 mv:9231 misc:1658 imb:241 pmb:860 smb:1483 d:- ref:0 ;
in:85 out:85 type:P dur:2 cpbdur:2 q:27.23 aq:20.45 tex:54681 mv:9572 misc:1403 imb:288 pmb:823 smb:1473 d:- ref:0 ;
in:87 out:86 type:P dur:2 cpbdur:2 q:27.45 aq:20.82 tex:78246 mv:12389 misc:1637 imb:486 pmb:819 smb:1279 d:- ref:0 ;
in:86 out:87 type:b dur:2 cpbdur:2 q:27.34 aq:24.47 tex:23533 mv:9200 misc:1139 imb:83 pmb:656 smb:1845 d:- ref:0 ;
in:91 out:88 type:P dur:2 cpbdur:2 q:27.66 aq:20.53 tex:108586 mv:17367 misc:1519 imb:839 pmb:1069 smb:676 d:- ref:0 ;
in:89 out:89 type:B dur:2 cpbdur:2 q:27.56 aq:23.69 tex:44449 mv:13941 misc:1426 imb:132 pmb:845 smb:1607 d:- ref:0 ;
in:88 out:90 type:b dur:2 cpbdur:2 q:27.50 aq:24.19 tex:25547 mv:10109 misc:1256 imb:67 pmb:700 smb:1817 d:- ref:0 ;
in:90 out:91 type:b dur:2 cpbdur:2 q:27.61 aq:25.01 tex:21197 mv:9615 misc:1340 imb:38 pmb:703 smb:1843 d:- ref:0 ;
in:95 out:92 type:P dur:2 cpbdur:2 q:28.02 aq:20.56 tex:101472 mv:17342 misc:1562 imb:742 pmb:1102 smb:740 d:- ref:0 ;
in:93 out:93 type:B dur:2 cpbdur:2 q:27.84 aq:23.16 tex:33987 mv:13326 misc:1431 imb:148 pmb:785 smb:1651 d:- ref:0 ;
in:92 out:94 type:b dur:2 cpbdur:2 q:27.75 aq:24.81 tex:18576 mv:9634 misc:1486 imb:61 pmb:684 smb:1839 d:- ref:0 ;
in:94 out:95 type:b dur:2 cpbdur:2 q:27.93 aq:24.78 tex:15763 mv:9040 misc:1333 imb:68 pmb:595 smb:1921 d:- ref:0 ;
in:99 out:96 type:P dur:2 cpbdur:2 q:28.45 aq:21.41 tex:73093 mv:15950 misc:1653 imb:578 pmb:1194 smb:812 d:- ref:0 ;
in:97 out:97 type:B dur:2 cpbdur:2 q:28.23 aq:22.51 tex:26875 mv:11917 misc:2032 imb:121 pmb:1003 smb:1460 d:- ref:0 ;
in:96 out:98 type:b dur:2 cpbdur:2 q:28.13 aq:24.76 tex:8104 mv:6533 misc:1179 imb:21 pmb:518 smb:2045 d:- ref:0 ;
in:98 out:99 type:b dur:2 cpbdur:2 q:28.34 aq:25.30 tex:9378 mv:6009 misc:1477 imb:23 pmb:574 smb:1987 d:- ref:0 ;
in:101 out:100 type:P dur:2 cpbdur:2 q:28.78 aq:22.00 tex:45698 mv:11763 misc:1883 imb:323 pmb:1166 smb:1095 d:- ref:0 ;
in:100 out:101 type:b dur:2 cpbdur:2 q:28.61 aq:25.02 tex:8939 mv:6127 misc:1478 imb:22 pmb:569 smb:1993 d:- ref:0 ;
in:102 out:102 type:P dur:2 cpbdur:2 q:28.87 aq:21.73 tex:25675 mv:8470 misc:1671 imb:189 pmb:810 smb:1585 d:- ref:0 ;
in:105 out:103 type:P dur:2 cpbdur:2 q:28.92 aq:22.94 tex:52313 mv:12807 misc:1488 imb:530 pmb:810 smb:1244 d:- ref:0 ;
in:103 out:104 type:B dur:2 cpbdur:2 q:28.89 aq:24.69 tex:15323 mv:8989 misc:1584 imb:80 pmb:681 smb:1823 d:- ref:0 ;
in:104 out:105 type:b dur:2 cpbdur:2 q:28.90 aq:25.64 tex:10969 mv:7106 misc:1269 imb:49 pmb:517 smb:2018 d:- ref:0 ;
in:109 out:106 type:P dur:2 cpbdur:2 q:28.77 aq:23.22 tex:105133 mv:17410 misc:433 imb:2262 pmb:153 smb:169 d:- ref:0 ;
in:107 out:107 type:B dur:2 cpbdur:2 q:28.84 aq:23.29 tex:34300 mv:12092 misc:1624 imb:227 pmb:787 smb:1570 d:- ref:0 ;
in:106 out:108 type:b dur:2 cpbdur:2 q:28.88 aq:25.38 tex:9003 mv:6632 misc:1237 imb:57 pmb:476 smb:2051 d:- ref:0 ;
in:108 out:109 type:b dur:2 cpbdur:2 q:28.80 aq:24.92 tex:14945 mv:6608 misc:1175 imb:81 pmb:488 smb:2015 d:- ref:0 ;
in:112 out:110 type:P dur:2 cpbdur:2 q:28.77 aq:23.24 tex:66373 mv:19802 misc:1121 imb:1037 pmb:882 smb:665 d:- ref:0 ;
