#options: 720x1280 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=7020 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:19.10 aq:9.68 tex:739679 mv:102446 misc:267 imb:3600 pmb:0 smb:0 d:- ref:;
in:3 out:1 type:P dur:2 cpbdur:2 q:20.33 aq:11.23 tex:257012 mv:18395 misc:1953 imb:319 pmb:2186 smb:1095 d:- ref:0 ;
in:1 out:2 type:B dur:2 cpbdur:2 q:20.33 aq:16.70 tex:22784 mv:12197 misc:3011 imb:25 pmb:1350 smb:2225 d:- ref:0 ;
in:2 out:3 type:b dur:2 cpbdur:2 q:20.33 aq:17.60 tex:22208 mv:12960 misc:2992 imb:50 pmb:1398 smb:2152 d:- ref:0 ;
in:5 out:4 type:P dur:2 cpbdur:2 q:20.31 aq:11.60 tex:320397 mv:15893 misc:1646 imb:274 pmb:2173 smb:1153 d:- ref:0 ;
in:4 out:5 type:b dur:2 cpbdur:2 q:20.32 aq:15.87 tex:7747 mv:3945 misc:2324 imb:9 pmb:723 smb:2868 d:- ref:0 ;
in:9 out:6 type:P dur:2 cpbdur:2 q:24.31 aq:15.31 tex:172460 mv:18784 misc:1956 imb:453 pmb:2240 smb:907 d:- ref:0 ;
in:7 out:7 type:B dur:2 cpbdur:2 q:22.31 aq:17.53 tex:35340 mv:17040 misc:3180 imb:79 pmb:1831 smb:1690 d:- ref:0 ;
in:6 out:8 type:b dur:2 cpbdur:2 q:21.31 aq:17.69 tex:11974 mv:10550 misc:3004 imb:35 pmb:1252 smb:2313 d:- ref:0 ;
in:8 out:9 type:b dur:2 cpbdur:2 q:23.31 aq:18.27 tex:7092 mv:8416 misc:3092 imb:37 pmb:1087 smb:2476 d:- ref:0 ;
in:13 out:10 type:P dur:2 cpbdur:2 q:21.50 aq:12.60 tex:334971 mv:19991 misc:1598 imb:489 pmb:2344 smb:767 d:- ref:0 ;
in:11 out:11 type:B dur:2 cpbdur:2 q:22.91 aq:17.84 tex:31280 mv:15879 misc:3185 imb:58 pmb:1611 smb:1931 d:- ref:0 ;
in:10 out:12 type:b dur:2 cpbdur:2 q:23.61 aq:20.01 tex:6224 mv:7753 misc:2751 imb:19 pmb:936 smb:2645 d:- ref:0 ;
in:12 out:13 type:b dur:2 cpbdur:2 q:22.20 aq:18.89 tex:15978 mv:10884 misc:3098 imb:34 pmb:1273 smb:2293 d:- ref:0 ;
in:17 out:14 type:P dur:2 cpbdur:2 q:18.60 aq:9.71 tex:466544 mv:20803 misc:1285 imb:641 pmb:2538 smb:421 d:- ref:0 ;
in:15 out:15 type:B dur:2 cpbdur:2 q:20.05 aq:15.27 tex:44606 mv:18891 misc:3103 imb:80 pmb:2189 smb:1331 d:- ref:0 ;
in:14 out:16 type:b dur:2 cpbdur:2 q:20.78 aq:17.14 tex:9518 mv:9856 misc:3370 imb:23 pmb:1356 smb:2221 d:- ref:0 ;
in:16 out:17 type:b dur:2 cpbdur:2 q:19.33 aq:15.67 tex:36905 mv:16018 misc:3173 imb:103 pmb:2092 smb:1405 d:- ref:0 ;
in:21 out:18 type:P dur:2 cpbdur:2 q:17.38 aq:8.84 tex:519871 mv:20081 misc:1296 imb:584 pmb:2488 smb:528 d:- ref:0 ;
in:19 out:19 type:B dur:2 cpbdur:2 q:17.99 aq:13.08 tex:80950 mv:20128 misc:2738 imb:114 pmb:2343 smb:1143 d:- ref:0 ;
in:18 out:20 type:b dur:2 cpbdur:2 q:18.30 aq:15.13 tex:34298 mv:14941 misc:3209 imb:39 pmb:1921 smb:1640 d:- ref:0 ;
in:20 out:21 type:b dur:2 cpbdur:2 q:17.69 aq:14.36 tex:40329 mv:13632 misc:3223 imb:68 pmb:2013 smb:1519 d:- ref:0 ;
in:25 out:22 type:P dur:2 cpbdur:2 q:16.70 aq:7.71 tex:649521 mv:24847 misc:760 imb:1105 pmb:2387 smb:108 d:- ref:0 ;
in:23 out:23 type:B dur:2 cpbdur:2 q:17.04 aq:11.61 tex:127004 mv:23239 misc:2197 imb:147 pmb:2606 smb:847 d:- ref:0 ;
in:22 out:24 type:b dur:2 cpbdur:2 q:17.21 aq:13.90 tex:44066 mv:13603 misc:3067 imb:33 pmb:1969 smb:1598 d:- ref:0 ;
in:24 out:25 type:b dur:2 cpbdur:2 q:16.87 aq:13.40 tex:63801 mv:18499 misc:2740 imb:131 pmb:2283 smb:1186 d:- ref:0 ;
in:29 out:26 type:P dur:2 cpbdur:2 q:16.45 aq:7.73 tex:545129 mv:20036 misc:1171 imb:698 pmb:2563 smb:339 d:- ref:0 ;
in:27 out:27 type:B dur:2 cpbdur:2 q:16.58 aq:10.86 tex:117993 mv:17017 misc:2590 imb:61 pmb:2472 smb:1067 d:- ref:0 ;
in:26 out:28 type:b dur:2 cpbdur:2 q:16.64 aq:13.24 tex:11621 mv:4446 misc:2725 imb:12 pmb:992 smb:2596 d:- ref:0 ;
in:28 out:29 type:b dur:2 cpbdur:2 q:16.51 aq:13.23 tex:36086 mv:12405 misc:2877 imb:27 pmb:1859 smb:1714 d:- ref:0 ;
in:33 out:30 type:P dur:2 cpbdur:2 q:16.30 aq:7.45 tex:637168 mv:21879 misc:1137 imb:841 pmb:2485 smb:274 d:- ref:0 ;
in:31 out:31 type:B dur:2 cpbdur:2 q:16.38 aq:10.30 tex:162502 mv:21908 misc:1958 imb:133 pmb:2710 smb:757 d:- ref:0 ;
in:30 out:32 type:b dur:2 cpbdur:2 q:16.42 aq:14.20 tex:21373 mv:5627 misc:2912 imb:22 pmb:1250 smb:2328 d:- ref:0 ;
in:32 out:33 type:b dur:2 cpbdur:2 q:16.34 aq:12.92 tex:54542 mv:14702 misc:3156 imb:85 pmb:2260 smb:1255 d:- ref:0 ;
